network_age,Aggregate_Total_Rev,Aggregate_SMS_Rev,Aggregate_Data_Rev,Aggregate_Data_Vol,Aggregate_Calls,Aggregate_ONNET_REV,Aggregate_OFFNET_REV,Aggregate_complaint_count,aug_user_type,sep_user_type,aug_fav_a,sep_fav_a,Class
2150,501.036,34.87,0,2568.8027,68,2862,18731,1,Other,Other,ufone,mobilink,Churned
2159,1229.14,57.46,0,170993.0713,659,348,1629,5,2G,2G,telenor,ufone,Active
2161,922.2984,8.75,0,6862866.961,260,3024,10680,1,3G,3G,ufone,ufone,Churned
2224,267.1,41.1,27.5,5466.8838,58,7968,6906,1,,,warid,ufone,Churned
2226,1322.36,39.31,22.5,73820.5264,257,8820,61293,1,3G,2G,warid,ufone,Churned
2237,1128.11,82.25,35,1235577.751,401,14616,24950,1,3G,3G,ufone,ufone,Active
2272,875.4,0,0,1564279.613,712,0,0,1,,,mobilink,ufone,Active
2323,231.82,68.24,18.75,19.0537,16,4260,851,1,3G,3G,ufone,ufone,Active
2347,587.4948,7,0,31568.833,147,5478,25138,3,3G,3G,mobilink,warid,Active
2357,601.7,115.96,107.5,26682.8545,21,0,5171,1,3G,3G,zong,mobilink,Churned
2413,275.13,20.87,2.5,123.3301,51,972,9991,1,3G,3G,mobilink,telenor,Churned
2440,1603.5504,94.78,221.25,366383.0537,304,17196,48921,1,3G,3G,zong,ufone,Active
2442,214.43,20.05,17.5,44567.5371,15,120,2770,1,3G,3G,zong,zong,Churned
2492,944.46,0.02,10,1218412.512,353,0,3035,4,3G,3G,ptcl,ufone,Active
2501,2517.6648,9.39,411.25,51514296.62,270,1428,51080,6,3G,3G,0,ufone,Active
2615,998.09,11.96,2.5,1581541.407,554,0,1251,1,Other,Other,ufone,ufone,Active
2630,1082.948,13.15,1.25,256886.8711,576,3024,9907,1,,,mobilink,ufone,Churned
2639,1667.508,58.72,123.75,180711.5362,351,21264,51902,1,Other,Other,ufone,ufone,Active
2680,817.72,19.06,32.5,997772.8184,234,3672,10727,1,3G,3G,warid,ufone,Active
2694,75.068,37.43,5,4824.7158,4,0,716,1,3G,3G,ptcl,ptcl,Churned
2707,841.6484,23.09,0,15689313.96,168,1872,30767,1,3G,3G,ufone,telenor,Churned
2750,1516.09,13.7,27.5,18422093.07,487,0,5721,3,3G,3G,warid,ufone,Churned
2848,920.21,7.17,0,2835940.224,531,0,179,1,3G,3G,telenor,ufone,Active
2848,841.11,28.8,107.5,3094742.592,633,5004,9125,1,,,ptcl,ufone,Churned
2886,875.64,0,0,230007.955,974,0,0,1,3G,3G,telenor,ufone,Active
2990,650.1268,23.29,6.25,6299003.028,99,7110,9727,2,Other,Other,telenor,ufone,Active
3054,461.88,2.39,0,180877.6924,107,477,1678,1,3G,3G,ufone,zong,Churned
3089,342.046,93.24,16.25,117214.833,87,9900,5456,1,,,mobilink,ufone,Active
3114,1145.61,1.75,22.5,1164443.296,600,228,21952,3,3G,3G,zong,ufone,Active
3171,63.0368,23.09,8.75,14.0781,4,477,586,1,,,ufone,ufone,Churned
3181,891.69,1.75,5,946378.5332,293,0,954,1,3G,3G,telenor,ufone,Active
3291,199.188,0.01,92.5,87203.6817,4,0,549,5,2G,2G,ptcl,ptcl,Active
3298,1125.91,166.88,13.75,39512.8291,255,24180,16174,2,Other,Other,zong,ufone,Active
3437,929.8244,11.87,16.25,717.7168,477,11268,25698,2,Other,Other,ptcl,ufone,Active
3479,188.9,27.86,5,5279.8809,32,7644,4355,4,Other,Other,warid,ufone,Active
3533,1531.48,5.25,1.25,914409.4199,376,0,10584,2,3G,3G,ufone,ufone,Active
3621,1235.29,45.35,0,857.1758,561,900,6193,2,2G,2G,0,ufone,Active
3651,889.138,1.2,0,6065.1719,313,0,895,2,2G,2G,ptcl,ufone,Active
3696,1703.374,10.08,0,363433.375,212,660,4493,2,,,telenor,zong,Active
3704,1045.3784,1.75,98.75,192469.0263,223,24828,17867,1,2G,3G,telenor,ufone,Active
3713,726.14,2.42,92.5,13224193.42,38,1320,6685,1,2G,3G,ptcl,ptcl,Active
3746,70.266,32.48,0,194.0635,2,0,407,1,3G,3G,ptcl,ptcl,Churned
3772,231.2284,32.71,11.25,3216081.784,56,2292,11998,1,,,ufone,ufone,Churned
3809,900.03,5.98,57.5,435275.586,93,7155,7580,1,3G,3G,ufone,ufone,Active
3817,1042.04,10.5,76.25,326820.4102,393,16236,29519,1,Other,Other,ptcl,ufone,Active
3850,225.0916,33.76,6.25,202.6494,51,972,10362,1,,,ptcl,ptcl,Churned
3853,7466.5368,16.15,53.75,2912.3389,1406,158880,379475,3,,,zong,warid,Active
3870,413.3,0,20,28141.0098,100,23016,9966,1,3G,3G,warid,ufone,Active
3961,535.1804,5.25,7.5,281.1289,148,9468,18426,1,Other,Other,ufone,ufone,Active
3978,3049.782,10.5,222.5,1471732.905,662,38160,113158,1,3G,3G,telenor,ufone,Active
3978,466.4056,11.31,126.25,773825.3633,10,0,1862,1,3G,3G,ptcl,ptcl,Churned
4073,2040.1756,63.36,173.75,38867395.5,343,0,1851,1,3G,3G,mobilink,ufone,Active
4082,262.28,0,2.5,8.6738,79,2640,16450,2,Other,Other,zong,mobilink,Active
4153,423.93,7.6,3.75,157.5615,75,3408,14160,5,3G,3G,ufone,ufone,Active
4183,119.722,1.75,10,1699954.774,40,540,1197,4,3G,3G,ufone,ufone,Active
4229,510.9708,9.39,11.25,1710288.004,687,0,1652,5,3G,3G,mobilink,ufone,Active
4251,355.47,16.74,0,80075.2998,273,7290,8951,2,3G,3G,mobilink,ufone,Active
4252,929.82,0,0,152106.7744,779,0,4246,2,3G,3G,zong,ufone,Active
4254,437.7,0,0,62764.5781,28,0,0,2,3G,3G,telenor,ufone,Active
4681,16387.316,90.13,137.5,3731114.671,1864,22188,313078,2,3G,3G,ufone,warid,Active
4792,963.33,1.75,5,1268950.891,571,888,4632,1,3G,3G,zong,ufone,Active
4846,616.95,3.5,0,53964.1377,560,1716,12965,4,,,ufone,ufone,Active
4870,1283.8368,9.62,27.5,1469047.9,468,2808,13915,5,3G,3G,zong,ufone,Active
5374,1008.58,0,0,525649.7168,682,0,4425,3,3G,3G,mobilink,ufone,Active
1375,1702,0,2.5,24.1104,215,43419,49419,2,2G,2G,zong,ufone,Active
1813,1410.868,13.7,41.25,4691.7998,244,3351,100896,1,3G,3G,zong,mobilink,Churned
2546,3437.7,79.2,235,670008.252,144,2820,110699,3,3G,3G,mobilink,warid,Active
2870,1031.654,270.49,56.25,124287.8594,82,2378,35438,1,3G,3G,ufone,warid,Churned
1407,154.7092,0,17.5,36510850.47,10,275,1601,1,3G,,zong,ptcl,Active
1751,233.952,13.12,15,38616.0938,45,1494,10156,1,3G,3G,warid,ptcl,Active
2362,2271.57,5.4,13.75,4422097.197,751,0,3710,2,3G,3G,ptcl,ufone,Active
4205,973.12,0,3.75,215656.4394,370,239,179,3,3G,3G,warid,ufone,Active
135,1249.6436,7.01,45,79659.8047,445,2816,4601,2,,,ufone,ufone,Active
489,946.768,37.26,21.25,34290.2334,296,2069,41250,1,3G,3G,ptcl,ptcl,Churned
629,1506.34,61.66,7.5,237319.0733,411,22809,30443,1,3G,3G,zong,ufone,Active
666,980.5332,47.72,251.25,1674835.019,99,2763,5016,2,3G,3G,ufone,ufone,Active
916,125.0288,9.56,1.25,1.6064,49,1018,1721,1,Other,Other,ufone,ufone,Churned
1046,78.9904,15.95,3.75,4622.2012,49,885,2376,1,Other,Other,ufone,ufone,Active
1120,899.18,242.98,45,150471.0674,110,432,9614,4,3G,3G,ptcl,ufone,Churned
2169,395.37,30.04,13.75,22353.418,37,5890,3033,1,3G,3G,0,ufone,Active
2271,4642.33,5.25,1.25,0.7559,1470,6199,186886,1,2G,2G,zong,zong,Active
2490,60.69,18.95,25,1049.9375,1,0,179,2,2G,3G,ptcl,ptcl,Churned
2713,5979.412,48.38,505,83449734.18,1127,0,58255,2,3G,3G,ufone,ufone,Active
3611,1082.25,56.1,368.75,1242062.572,97,2963,7499,2,3G,3G,ptcl,ufone,Churned
4024,539.05,20.79,17.5,27092.9619,116,15098,26755,1,,,warid,ufone,Churned
2290,1992.698,31.5,73.75,906277.2929,179,47756,37452,2,3G,3G,ptcl,ufone,Active
126,1760.5,92.23,7.5,1181190.631,329,6552,21485,3,3G,3G,mobilink,ufone,Churned
1153,502.26,11.28,373.75,176811.7705,88,408,8507,1,3G,3G,ufone,ufone,Churned
2122,64.43,0.12,26.25,450370.3086,48,618,580,3,2G,3G,ptcl,ufone,Churned
3547,1360.55,9.58,0,2791.5049,836,0,0,1,Other,Other,ptcl,ufone,Active
2241,429.25,23.48,87.5,26957.125,36,4222,21625,4,3G,3G,ufone,mobilink,Active
3263,1899.46,20.62,155,2258907.13,39,1117,7123,3,3G,3G,telenor,ufone,Active
2464,88.982,27.23,1.25,2.8633,4,813,3180,1,Other,Other,mobilink,mobilink,Churned
3380,867.11,133.78,78.75,1322829.836,170,8608,5105,1,3G,3G,zong,ufone,Churned
3463,2051.47,69.85,43.75,736371.3916,585,27896,40792,1,,,telenor,ufone,Active
3582,1654.26,50.5,240,42038.0098,238,954,79980,1,3G,3G,ufone,telenor,Churned
3728,25.1,0,0,10.3418,15,144,813,4,3G,3G,ufone,ufone,Active
3805,1080.42,0.01,0,217563.1035,469,0,2261,6,3G,3G,zong,ufone,Active
3899,916.92,4.78,0,366469.0478,1170,0,358,1,2G,2G,ufone,ufone,Active
4084,928.83,137.12,0,17.916,197,2666,23981,1,2G,2G,mobilink,ufone,Churned
747,495.03,79.2,0,58128.7901,460,8700,26663,2,2G,2G,ufone,ufone,Active
1526,1015.8,62.56,61.25,6402748.932,175,1548,7020,2,3G,3G,0,ufone,Active
1585,4.91,0,0,25706.25,5,24,467,1,3G,3G,ptcl,ptcl,Active
1994,488.916,31.46,46.25,5483217.191,28,252,702,1,3G,2G,0,ufone,Active
2440,2227.55,85.4,43.75,1080063.578,788,8940,100236,2,3G,3G,mobilink,ufone,Active
4152,613.96,57.12,0,1526107.752,514,2580,6942,4,3G,3G,mobilink,ufone,Active
4232,910.46,14.64,45,2857898.337,257,1080,9108,1,3G,3G,mobilink,ufone,Active
133,1108.4956,118.75,56.25,928206.748,189,2964,15151,6,3G,2G,ufone,mobilink,Churned
183,356.116,7,0,59.1719,84,19687,7308,16,3G,3G,zong,ufone,Active
248,77.304,34.33,2.5,1062.7255,8,251,1111,1,3G,2G,ufone,ufone,Churned
255,445.5004,0,38.75,530260.8467,126,5034,5206,2,3G,3G,mobilink,ufone,Churned
265,275.17,0,1.25,13.6777,126,5358,2115,1,Other,Other,telenor,ufone,Churned
288,631.534,65.83,3.75,95146.5557,172,9395,9656,1,2G,2G,zong,ufone,Churned
342,1108.672,65.09,131.25,4292568.15,100,2893,33247,2,Other,Other,mobilink,mobilink,Churned
347,302.2748,12.58,11.78,156889.3486,23,2445,6225,7,Other,Other,zong,ufone,Active
352,659.76,20.07,20,108975.8447,107,9406,36021,2,3G,3G,ptcl,ptcl,Churned
368,1224.0612,0,52.5,1758480.214,16,502,3681,1,2G,2G,telenor,ptcl,Active
382,520.066,11.32,37.5,199785.2197,67,0,22003,1,Other,Other,ptcl,telenor,Active
394,393.504,26.25,21.25,4451.127,47,11868,9035,1,Other,Other,mobilink,ufone,Churned
399,856.684,3.5,31.25,1511060.273,166,18714,35813,1,3G,3G,zong,ufone,Active
403,2070.9608,10.5,292.5,696838.8955,332,4934,8794,3,Other,Other,warid,ufone,Active
404,948.726,16.56,0,1686.7334,168,15219,9390,1,Other,Other,warid,ufone,Churned
410,3004.5,43.76,50,220998.371,637,38979,109053,2,2G,3G,mobilink,ufone,Active
413,381.338,13.7,148.75,163079.6973,5,502,370,1,3G,3G,ufone,ptcl,Churned
419,1960.306,8.75,435,68063420.29,84,5235,20364,1,3G,,mobilink,ptcl,Active
419,314.206,4.36,6.25,219.2432,40,3526,11294,1,Other,Other,ufone,mobilink,Active
420,433.874,41.58,1.25,0.6777,71,60,18656,1,2G,2G,mobilink,telenor,Active
427,403.218,14.81,2.5,28.002,60,4685,14127,1,Other,Other,ufone,mobilink,Active
433,1055.466,0.01,1.25,233628.2148,317,0,2186,2,3G,3G,ptcl,ptcl,Active
435,293.318,3.5,36.25,11399.0039,17,2307,860,2,2G,2G,ptcl,ptcl,Churned
436,224.592,10.11,1.25,10.3213,14,1279,1924,1,2G,2G,telenor,ufone,Churned
438,2255.28,11.36,195,5175334.586,284,4303,5100,1,3G,3G,telenor,ufone,Active
458,1939.8908,11.96,0,240.0371,1209,14352,1826,1,Other,Other,ufone,ufone,Active
459,97.97,20.46,15,1529.3799,9,3167,1888,1,3G,3G,ptcl,warid,Churned
463,1260.0544,14.02,343.75,1903109.87,46,372,788,2,2G,2G,warid,ufone,Active
475,1347.97,16.57,1.25,355338.7276,246,2385,1611,1,3G,3G,ufone,ufone,Churned
479,390.73,36.4,0,16974.7803,18,0,13934,1,2G,2G,mobilink,mobilink,Churned
482,927.942,27.46,105,152009.5557,156,18814,19307,1,3G,3G,ptcl,ufone,Churned
485,61.606,23.9,1.25,17.4717,5,12,1816,1,2G,2G,ptcl,ptcl,Churned
488,271.7008,101.96,60,1707.5136,22,36,5676,1,3G,3G,ufone,ptcl,Churned
494,42.758,15.45,1.25,395.8428,4,1697,502,1,3G,3G,mobilink,telenor,Churned
499,500.05,22.07,2.5,34.2275,73,4387,18811,1,3G,3G,ufone,ufone,Churned
503,664.306,0,5,1218030.941,691,765,2675,2,2G,2G,ptcl,ufone,Active
503,519.098,33.46,0,3439.042,388,48,2306,1,Other,Other,ufone,ufone,Churned
505,81.302,11.95,1.25,21.3867,13,2725,1422,1,,,ufone,ptcl,Churned
507,1325.15,53.18,167.86,150254.2959,121,8981,54807,1,3G,3G,ptcl,ufone,Active
507,539.288,16.73,0,42944.3076,212,3705,920,1,Other,Other,ptcl,ptcl,Churned
508,1345.51,10.5,92.5,16627649.24,415,5323,41027,1,3G,3G,ptcl,ufone,Churned
512,1348.48,5.98,0,3410175.299,1634,0,179,2,3G,3G,zong,ufone,Active
517,608.232,1.75,67.5,34119740.49,44,587,3022,4,3G,3G,ptcl,ufone,Active
525,170.04,31.2,23.75,77788.874,82,708,4982,7,2G,2G,mobilink,ufone,Churned
545,361.586,16.05,16.25,394703.3926,47,1077,6107,1,2G,2G,ptcl,ptcl,Churned
549,498.7144,19.5,20,921.4365,162,8324,17414,1,2G,2G,zong,zong,Churned
554,2016.994,20.12,43.75,7126095.305,440,502,0,2,3G,3G,mobilink,ufone,Active
554,60.71,28.98,8.75,3391.0479,2,954,0,1,3G,3G,ufone,ufone,Churned
567,534.5204,20.05,0,87299.6885,30,945,1923,1,2G,2G,ptcl,ptcl,Active
577,594.4188,0,3.75,78694.167,262,3251,4577,2,Other,Other,mobilink,ufone,Active
580,653.5,43.75,67.5,15981.833,104,1506,34791,1,2G,3G,mobilink,zong,Churned
591,267.1864,7.61,28.75,33536321.8,1,0,179,1,2G,3G,ptcl,ptcl,Churned
591,152.478,34.02,16.25,1106.2207,20,2749,2426,1,,,ptcl,ptcl,Churned
594,5221.15,19.68,83.75,694552.8369,424,53605,81021,1,Other,Other,telenor,ufone,Churned
599,6186.9004,11.95,0,2515177.726,1038,0,384648,1,3G,3G,warid,ufone,Churned
609,1348.892,40.86,1.25,959103.6416,145,12510,43386,1,3G,3G,telenor,ufone,Active
615,164.74,49.39,22.5,535548.8135,15,108,1362,1,2G,2G,mobilink,zong,Churned
634,1154.6904,9.56,325,1132914.542,48,992,17843,1,3G,3G,warid,mobilink,Churned
636,1281.6892,46.45,53.75,26519180.36,29,3495,1611,1,3G,3G,ufone,ufone,Active
643,720.944,137.27,18.75,2423.5811,141,5080,21156,1,3G,3G,telenor,mobilink,Churned
667,469.6584,13.06,0,455.1973,89,4315,25839,1,3G,3G,ptcl,ufone,Churned
671,118.952,4.78,56.25,151865.1455,5,0,895,1,3G,3G,ptcl,ptcl,Churned
680,551.2116,60.48,22.5,264810.6015,52,96,10451,1,Other,Other,ufone,ptcl,Churned
683,436.66,14.81,5,345.6699,96,1507,22946,1,3G,2G,telenor,ufone,Churned
708,1266.4404,5.98,93.75,1871998.521,170,14752,19432,2,3G,3G,warid,ufone,Active
715,600.18,2.99,0,1026631.681,221,0,3883,3,3G,3G,mobilink,ufone,Active
719,1126.4024,21.15,13.75,1227795.178,331,4446,25348,1,Other,Other,mobilink,ufone,Churned
727,732.5588,8.33,3.75,252.875,138,7793,34971,1,Other,Other,mobilink,mobilink,Active
731,828.7404,3.52,2.5,35674.9864,660,10912,20756,7,Other,Other,ptcl,ufone,Active
765,1804.326,35.56,1.25,17363.8516,820,14601,52812,1,Other,Other,ptcl,ufone,Churned
767,2645.38,14.9,200,8888117.754,221,717,179,1,3G,3G,telenor,ufone,Active
770,550.072,7.74,5,52776.748,182,5123,4254,1,2G,2G,ptcl,ufone,Active
793,3563.29,27.87,68.75,7069080.733,1252,20812,149661,3,3G,3G,zong,ufone,Active
827,723.748,20.31,22.5,43013.333,801,6638,3286,1,2G,2G,mobilink,ufone,Churned
884,570.3384,38.24,2.5,79.0713,154,4365,27494,1,2G,2G,zong,ptcl,Churned
888,878.65,8.76,47.5,115805.208,237,16570,19751,1,Other,Other,warid,ufone,Active
912,1699.438,37.5,6.25,69330.2549,143,9562,29554,1,Other,Other,warid,ufone,Active
936,493.126,32.29,26.25,6733.9004,52,12,20042,1,2G,2G,mobilink,mobilink,Churned
939,580.074,31.84,5,103.6934,244,753,2736,1,3G,3G,ptcl,ufone,Churned
942,2355.77,166.58,338.75,3161488.526,582,20951,63017,2,3G,3G,ufone,warid,Churned
944,411.5724,22.85,0,8644.9922,212,4894,8263,1,2G,2G,zong,ptcl,Churned
958,3607.842,6.58,211.25,779097.3349,1575,17628,124294,4,3G,3G,0,ufone,Active
973,1083.456,43.04,31.25,1885998.199,37,2737,8796,3,,,ptcl,ptcl,Active
974,1024.14,48.13,52.5,415468.2871,104,14845,11328,2,3G,3G,telenor,ufone,Active
981,1208.6004,1.75,2.5,31.3535,883,18345,7434,2,Other,Other,ufone,ufone,Active
987,3847.5,155.75,280,370332.6133,544,52512,229965,1,,,telenor,mobilink,Churned
993,414.622,4.7,91.25,12065888.21,63,6503,3617,2,3G,3G,ptcl,ufone,Active
1022,153.3308,24.79,1.25,1502.9111,58,1974,2975,1,Other,Other,zong,ufone,Active
1033,833.3044,36.34,110,1087124.287,50,4518,9561,1,3G,3G,mobilink,ufone,Churned
1038,261.8384,23.65,10,7982150.938,29,2940,6631,4,2G,3G,mobilink,ptcl,Active
1053,943.31,6.72,20,229811.9453,151,3819,2390,2,3G,3G,ufone,ufone,Active
1056,3746.818,0,42.5,14007530.84,1320,4302,179,1,3G,3G,ptcl,ufone,Active
1056,847.1732,25.24,23.75,274.0664,415,14788,19779,7,3G,3G,warid,ufone,Active
1070,427.3776,1.75,26.25,16845.0557,176,5263,7771,2,2G,3G,ptcl,ptcl,Active
1071,1434.948,43.59,0,21161.9307,483,17862,6966,1,3G,3G,telenor,ufone,Churned
1085,1606.79,6.53,1.25,7829.7617,1184,2008,44787,1,3G,3G,telenor,ufone,Active
1089,1420.52,2.36,63.75,11506415.47,535,598,7989,3,3G,3G,ptcl,ufone,Active
1096,79.3548,7.17,30,1236.8262,5,954,920,1,3G,,ufone,warid,Churned
1097,1078.81,16.38,0,1457.3662,757,15225,9692,2,2G,2G,warid,ufone,Active
1102,1049.1904,28.71,3.75,905747.2099,781,0,358,2,Other,Other,warid,ufone,Active
1106,1382.1984,5.98,0,774782.8448,805,1434,0,3,2G,3G,zong,ufone,Churned
1128,174.47,1.75,10,126522.1094,8,0,3298,1,2G,2G,telenor,zong,Churned
1139,1471.818,4.97,0,313391.7676,709,3788,21316,3,3G,3G,ptcl,ufone,Active
1144,248.49,21.51,6.25,179.457,17,323,4373,1,3G,3G,ufone,ptcl,Churned
1165,1357.13,26.85,0,51771.2051,164,37349,1458,8,3G,3G,0,ufone,Churned
1168,2833.12,39.45,0,863.1045,873,0,44159,1,2G,2G,mobilink,ufone,Churned
1177,1018.358,7,0,390166.9218,420,610,2471,2,2G,2G,zong,ufone,Active
1201,55.6948,23.9,2.5,6.9453,3,0,609,1,Other,Other,ptcl,ptcl,Churned
1235,101.44,23.49,20,44502.5,10,765,1422,1,3G,3G,zong,zong,Churned
1237,1148.69,5.98,0,1970897.523,1021,6692,9321,4,Other,Other,telenor,ufone,Active
1244,39.098,10.77,0,458.4746,1,0,179,1,3G,3G,ptcl,ptcl,Churned
1249,2206.0492,0,41.25,5124299.415,1427,2868,13740,1,Other,Other,mobilink,ufone,Active
1258,62.658,20.88,1.25,35.6611,7,12,1601,2,2G,2G,ufone,ptcl,Churned
1259,776.6788,37.22,57.5,6613.5732,99,11378,30129,1,3G,3G,warid,telenor,Churned
1267,259.72,21.43,1.25,110909.2002,44,15348,1183,1,,3G,telenor,ufone,Churned
1277,138.716,48.57,6.25,31.1982,34,718,3537,1,Other,Other,telenor,ufone,Active
1295,350.83,0,37.5,106360.8819,54,6741,10159,3,,3G,mobilink,ufone,Churned
1307,141.838,0,30,882.1299,24,2665,4051,1,2G,2G,mobilink,zong,Churned
1316,127.79,43.02,17.5,669.8418,9,60,788,1,2G,2G,ufone,ufone,Churned
1329,46.504,13.7,0,3704.3213,5,0,1606,1,3G,3G,ptcl,ptcl,Churned
1341,514.774,26.99,0,830.3135,543,1004,2402,1,2G,2G,warid,ufone,Churned
1345,963.08,0,0,14.7383,788,2940,1458,4,2G,2G,warid,ufone,Active
1351,1448.5,174.1,101.25,1010556.221,255,2737,1887,1,Other,Other,warid,ufone,Active
1353,179.564,12.43,25,3515.5859,22,741,6382,1,3G,3G,telenor,mobilink,Churned
1357,77.79,38.24,0,9532.3896,3,0,1159,1,Other,Other,ptcl,ptcl,Churned
1364,225.4588,19.87,18.75,27652.7637,27,753,4734,1,,,mobilink,mobilink,Churned
1366,1313.81,21.4,6.25,17225.3789,253,3060,72309,1,Other,Other,telenor,ptcl,Active
1370,1595.9604,7.17,0,55495.3438,762,13539,7673,2,2G,2G,ufone,ufone,Active
1370,394.6204,29.28,0,1853.6602,101,837,25087,1,2G,2G,ufone,telenor,Churned
1378,45.7048,9.56,3.75,7.7002,8,0,1685,1,,,telenor,telenor,Churned
1383,503.3184,24.5,27.5,955695.5263,53,1734,11209,1,2G,2G,zong,ufone,Active
1404,238.97,29.45,2.5,24.0059,17,1757,3800,1,2G,2G,ptcl,ptcl,Churned
1414,388.072,10.03,22.5,899.8955,34,2910,9416,1,3G,3G,telenor,ptcl,Churned
1417,903.27,0,22.5,2166780.011,660,0,537,1,2G,3G,warid,ufone,Active
1420,174.5888,15.45,47.5,625312.2119,2,0,358,1,3G,3G,ptcl,ptcl,Churned
1421,563.43,17.5,15,36468.0557,241,60,4099,2,3G,3G,telenor,ufone,Active
1426,1158.8744,12.89,2.5,12780320.19,671,5634,7794,1,2G,2G,ptcl,ptcl,Active
1429,1665.54,0.12,105,10967190.07,702,24,358,2,3G,3G,telenor,ptcl,Active
