"class","aa_000","ab_000","ac_000","ad_000","ae_000","af_000","ag_000","ag_001","ag_002","ag_003","ag_004","ag_005","ag_006","ag_007","ag_008","ag_009","ah_000","ai_000","aj_000","ak_000","al_000","am_0","an_000","ao_000","ap_000","aq_000","ar_000","as_000","at_000","au_000","av_000","ax_000","ay_000","ay_001","ay_002","ay_003","ay_004","ay_005","ay_006","ay_007","ay_008","ay_009","az_000","az_001","az_002","az_003","az_004","az_005","az_006","az_007","az_008","az_009","ba_000","ba_001","ba_002","ba_003","ba_004","ba_005","ba_006","ba_007","ba_008","ba_009","bb_000","bc_000","bd_000","be_000","bf_000","bg_000","bh_000","bi_000","bj_000","bk_000","bl_000","bm_000","bn_000","bo_000","bp_000","bq_000","br_000","bs_000","bt_000","bu_000","bv_000","bx_000","by_000","bz_000","ca_000","cb_000","cc_000","cd_000","ce_000","cf_000","cg_000","ch_000","ci_000","cj_000","ck_000","cl_000","cm_000","cn_000","cn_001","cn_002","cn_003","cn_004","cn_005","cn_006","cn_007","cn_008","cn_009","co_000","cp_000","cq_000","cr_000","cs_000","cs_001","cs_002","cs_003","cs_004","cs_005","cs_006","cs_007","cs_008","cs_009","ct_000","cu_000","cv_000","cx_000","cy_000","cz_000","da_000","db_000","dc_000","dd_000","de_000","df_000","dg_000","dh_000","di_000","dj_000","dk_000","dl_000","dm_000","dn_000","do_000","dp_000","dq_000","dr_000","ds_000","dt_000","du_000","dv_000","dx_000","dy_000","dz_000","ea_000","eb_000","ec_00","ed_000","ee_000","ee_001","ee_002","ee_003","ee_004","ee_005","ee_006","ee_007","ee_008","ee_009","ef_000","eg_000"
"neg",45912,na,0,454,0,0,0,0,0,0,2106,418940,2217344,767508,61590,1978,1434684,0,0,0,0,0,3122760,2717156,818124,330626,0,0,0,0,0,0,0,0,0,0,0,97332,2209356,1008624,154154,0,2730,974,1598,208126,2616324,639690,24,0,0,0,1461664,714592,273092,251694,192692,109796,152088,313848,0,0,3941672,0,0,0,0,1434684,39458,521084,294150,284920,228720,247640,na,na,na,na,na,48400,45912.7,3941672,3941672,3921382,20836,0,26010,304120,3469466,1209600,0,0,66,0,2857705.92,0,608261.76,0,0,0,0,0,48812,882758,1815168,665332,49704,7322,370,56,0,3941672,na,5554,746,54508,406266,181030,2090350,706206,24464,342,0,802,498,1489428,26150,0,6284,0,0,1521444,0,0,0,0,0,0,0,0,0,0,22910,0,0,0,0,0,0,0,0,0,0,0,0,0,1741.8,1870,641468,694878,495400,278660,544710,438256,249386,73356,51344,2008,0,0
"neg",2104,na,36,26,0,0,0,0,9744,13148,98310,22210,1336,0,0,0,59062,0,0,0,15238,24218,109858,108074,38530,7392,0,0,0,0,200,114,0,0,0,0,0,0,0,12260,132488,0,1122,104,170,422,14502,128428,0,0,0,0,37860,30084,20616,13598,18688,14228,6174,2628,780,92,163728,30,34,18,0,59062,1418,12002,26016,na,na,na,na,na,na,na,na,37660,2104.31,163728,163728,164244,1041,0,15712,162960,144748,1209600,2776,0,12,0,104222.4,0,39421.44,na,na,9652,3180,50254,79052,1554,1024,32,0,0,0,30,48,163728,na,1134,60,8200,4040,13246,116456,1612,0,0,0,40,216,104414,32666,0,178,0,0,106762,476,214,0,0,0,0,0,0,0,0,1216,206,24,0,0,1888,382,500,86,0,0,0,0,1100350,na,na,41704,15418,4776,2330,4634,6534,29980,39372,0,0,0,0
"neg",118950,na,1390,1298,0,0,0,0,0,0,40932,1657660,4867618,2000614,147598,11790,3466260,0,0,0,0,0,7555358,6274612,2191992,1077566,0,0,0,0,5480,934,0,0,0,0,0,39286,3493752,4841182,351992,0,15316,25194,47684,307864,6201838,2121586,6730,0,0,0,3371364,1866484,721710,500104,388618,389252,805278,682752,650,0,9745646,168,596,6028,100,3466260,101674,1317460,857616,266200,344220,252440,245160,211280,259600,265720,309020,9140,118950.54,9745646,9745646,9714402,57187,27452,113060,44780,8726212,1209600,244944,8,246,0,7543027.2,0,1175619.84,0,0,0,0,154,319550,2664874,4557570,1080804,83666,17776,1818,34,46,9745646,na,15566,1802,155448,628160,538866,6316802,1014482,54702,384,0,1786,2546,3338886,876092,0,1064,0,356,7638780,6314,606,0,0,0,0,0,0,0,0,65096,251192,64842,0,0,110678,24816,72880120,7679250,6340778,24392,0,0,2740890,4847.48,4712,1236230,1432054,1677646,1380302,2531322,426284,17996,11734,12506,138,0,0
"neg",24416,na,0,na,0,0,0,0,0,0,556,448484,887798,128906,2188,0,716912,0,64,0,0,0,1388178,1296724,145126,65574,0,0,0,0,0,0,0,0,0,0,0,3472,317156,427416,719888,0,3050,1256,954,990,223308,1238362,8,4,0,0,540106,277452,178208,129534,96068,79586,95176,71802,0,0,1533608,56,320,416,146,716912,11766,70222,74334,119120,1310700,1310700,1310700,1310700,1310700,1310700,1310700,23020,24416.97,1533608,1533608,1519186,9063,239974,30692,320440,1467932,1209600,0,na,na,na,1313301.12,0,152134.08,na,na,0,0,0,163278,752510,476802,67208,6894,1240,0,na,0,1533608,na,2582,280,52304,53400,90994,1114128,152128,2116,0,0,na,na,na,na,na,na,na,na,na,940,68,0,0,0,0,0,0,0,0,6264,24720,4746,0,0,54524,8174,2173160,483828,0,0,0,0,1074940,na,na,163678,199404,190606,95674,207476,232470,154962,99406,121544,2712,0,0
"neg",14,0,62,34,0,0,0,0,0,0,6,4256,2250,0,0,0,2182,0,0,0,0,0,7270,3692,51606,1222,0,0,0,0,50,22,0,0,0,0,0,0,0,0,6512,0,240,28,48,594,556,2000,3046,0,0,0,5002,448,176,164,124,60,448,68,6,16,58910,2,6,2,0,2182,178,48476,3048,na,na,na,na,na,na,na,na,51420,13.52,58910,58910,58980,29,0,5732,58700,6558,1209600,348,2,6,0,2075.52,0,3567.36,10,32,0,0,0,3556,2084,660,212,0,0,0,2,6,58910,0,930,10,134,342,294,4518,284,0,0,0,104,42,2596,116,0,48,0,0,2662,70,68,0,0,0,0,0,0,0,0,204,0,0,2396,796,30,26,7000,698,44208,12,0,0,0,230.92,64,4524,1580,248,42,48,28,32,10,0,0,0,0
"neg",31300,0,784,740,0,0,0,0,0,20386,847078,2404100,2645236,2415620,1957818,459032,4730560,0,0,0,38582,60878,10050600,9473796,2022538,530234,0,0,0,0,1736,1164,0,0,0,0,0,0,0,1958836,8790434,0,10364,2952,3596,1435896,1136152,7914616,234256,11438,0,0,6776298,2165810,659492,404564,322062,230824,116654,64192,9168,206,12111862,254,226,444,0,4730560,293792,349952,1671484,193360,186560,185780,189300,196400,200560,196340,196580,720,31300.82,12111862,12111862,12093948,19275,6256,118688,7220,10753880,1209600,1012604,62,586,0,5222058.24,3987438.72,1525939.2,4,1368,0,19236,518128,1997044,3112882,2766802,2052512,279284,3304,78,214,1100,12111862,0,12398,1510,61822,2829888,1358728,5264506,1185462,34954,2,0,688,1628,4865556,28858,0,5196,0,0,5444212,27758,4492,0,0,32230,4162482,0,0,0,0,82844,352,84,7345640,1436010,425200,113400,12920,9218,11752100,4112,0,0,0,4923.88,3018,5895398,3849254,798872,112724,51736,7054,6628,27600,2,2,0,0
"neg",736,2,24,22,16,20,0,0,0,1144,39526,13380,4988,0,0,0,17644,0,0,0,3192,5474,54700,51844,20896,1346,0,0,0,0,70,44,0,0,0,0,0,0,0,2046,56992,0,286,172,318,2322,2524,49788,3258,370,0,0,31028,9768,11040,2792,1428,978,570,672,304,458,78850,36,0,4,0,17644,502,11100,9572,na,na,na,na,na,na,na,na,20200,735.55,78850,78850,79418,262,0,7642,78200,59168,1209600,910,2,8,0,35048.64,11448.96,11618.88,2,50,0,1152,11846,8440,31788,5114,672,26,0,0,2,2,78850,0,1148,40,380,692,1942,20138,34102,574,22,0,18,88,36136,17168,0,0,0,0,36136,188,206,40,11450,0,0,0,0,0,0,658,0,12,17022,2030,598,118,84100,8408,38320,136,0,0,0,187.46,124,24470,4084,1370,812,2488,2340,2566,20870,38,0,0,0
"neg",332,na,2130706432,20,0,0,0,0,0,0,82,8182,19242,610,0,0,11362,0,0,0,0,0,29762,24726,8792,2626,0,0,0,0,124,56,0,0,0,0,0,0,26714,1402,0,0,60,14,30,36,128,27822,26,0,0,0,16062,8552,2674,658,140,30,0,0,0,0,38566,0,70,4,0,11362,432,4128,4636,na,na,na,na,na,na,na,na,8520,331.36,38566,38566,39858,62,148,3680,38300,28116,1209600,1032,2,4,0,21514.56,0,6502.08,0,16,0,0,0,3932,11574,11646,722,184,58,0,2,8,38566,na,136,32,48,1326,678,5432,19092,1372,0,0,28,162,6554,11030,0,758,0,22,22324,124,46,0,0,0,0,0,0,0,0,318,54,54,0,0,668,122,342460,34186,0,0,0,0,0,46.86,54,7248,6652,1260,296,878,11774,8,0,0,0,0,0
"neg",1432,na,2130706440,82,0,0,0,0,0,0,78,17784,71682,266,0,0,40250,0,58,0,0,0,86972,78750,15174,5064,0,0,0,0,188,54,0,0,0,0,0,0,53574,36236,0,0,114,22,32,40,4350,85252,0,0,0,0,31154,42200,11532,4516,366,32,10,0,0,0,102164,2,60,136,0,40250,856,7666,7430,na,na,na,na,na,na,na,na,14900,1431.16,102164,102164,101994,334,116,10022,101880,89810,1209600,1848,2,4,0,75692.16,0,14004.48,0,28,0,0,0,8354,58102,22690,528,120,16,0,0,6,102164,na,190,22,84,5238,4238,8124,69002,2808,104,0,130,244,76402,56510,0,34,0,0,76720,98,18,0,0,0,0,0,0,0,0,474,6,12,0,0,756,222,449440,44950,0,0,0,0,431210,77.38,68,15218,10750,2714,1480,4822,53694,1116,16,0,0,0,0
"neg",41212,0,2130706434,104,104,172,0,0,0,0,9268,1343962,881214,81244,3876,0,1027430,0,32,0,0,0,2166316,1929602,679632,169490,0,0,3850,0,148,628,0,0,0,0,0,0,22990,796396,1500178,0,1602,1200,1992,5188,47486,175800,2086290,6,0,0,724890,783694,245928,138998,93056,74112,63832,96376,51000,47678,2846732,754,3128,6292,2,1027430,27030,499604,178442,301120,271600,na,na,na,na,na,na,100380,41212.87,2846732,2846732,2809046,14123,0,38044,419060,2321054,1209600,63758,2,78,0,2067268.8,0,250670.4,4,514,0,0,24,102928,754000,1027420,323420,99164,12510,98,288,288,2846732,0,3280,278,62158,170718,373006,1691314,18804,6,0,0,88,928,2084430,924590,0,1670,0,0,2085538,1988,1592,0,0,0,0,0,0,0,0,14900,8576,3004,4985196,628460,62386,11574,12170880,1216948,2745760,12524,0,0,1212960,1216.44,1244,265986,285848,171390,95844,177206,173184,404690,736142,9268,6,0,0
"neg",14,na,6,6,0,0,0,0,0,0,66,184,4352,936,0,0,2498,0,0,0,0,0,6480,4710,3606,690,0,0,0,0,6,4,0,0,0,0,0,0,5538,0,0,0,54,8,18,38,1518,3902,0,0,0,0,4796,556,92,22,12,6,52,2,0,0,10102,0,6,8,0,2498,168,1742,1844,na,na,na,na,na,na,na,na,3480,14.42,10102,10102,11444,11,0,926,10000,5538,1209600,486,2,2,0,3054.72,184.32,2259.84,0,8,0,0,0,0,3718,1600,220,0,0,0,2,8,10102,na,80,12,8,148,642,1140,2280,1188,40,0,8,14,3866,198,0,4,0,12,3918,82,34,0,0,0,184,0,0,0,0,108,0,0,0,0,96,28,6400,664,10204,16,0,0,0,31.88,34,2662,2796,80,0,0,0,0,0,0,0,0,0
"neg",157128,na,2130706456,424,0,0,0,0,0,0,26568,3360374,6199744,1974092,148888,2568,5287200,0,0,0,0,0,10527330,8931492,3261454,1397344,0,0,0,0,630,416,0,0,0,0,0,0,8248804,3463422,4,0,7014,2232,2508,4608,388200,11302650,5010,8,0,0,4218518,2301548,1004748,776626,629238,661974,1989730,129848,0,0,13790072,0,176,200,314,5287200,177860,2374640,884700,357440,332460,344700,322920,321260,276540,252460,272840,121320,157128.87,13790072,13790072,13773892,62876,591758,37328,467900,11712250,1209600,510356,2,126,0,9798039.36,0,1903909.44,0,2246,0,0,0,289284,3357578,4979110,2718408,329866,36912,1072,5696,5830,13790072,na,16056,2330,29802,1799072,565406,7153350,2141262,4952,0,0,598,706,7679864,90002,0,303064,0,0,9872664,10770,528,0,0,0,0,0,0,0,0,90426,191350,67358,0,0,379428,72846,36430720,4985876,0,0,0,0,0,4484.2,4844,2014620,2786832,1784108,683976,1228736,971366,838200,559330,826630,18434,0,0
"neg",58246,na,2130706432,2416,0,0,0,0,0,0,127148,1596382,2025598,439544,17478,0,1706406,0,0,0,0,0,3955522,3494750,661354,355020,0,0,0,0,4258,1194,0,0,0,0,0,70130,1951726,1563402,620892,0,6732,1600,1660,42864,2301308,1833822,18108,24,28,4,1432138,1063884,439474,314282,265580,287004,346204,57584,0,0,4618048,0,58,238,80,1706406,52590,395144,264342,150820,164220,221320,na,na,na,na,na,113420,58245.58,4618048,4618048,4564226,19131,994,92176,975400,4206150,1209600,208244,2,162,0,3574499.52,0,625239.36,0,0,0,0,724,381140,1586658,1541964,554712,115428,22184,3340,20,44,4618048,na,9118,1242,15538,527434,239764,2807668,597308,8078,0,0,4358,3146,3589534,43012,0,9980,0,14,3603334,5060,884,0,0,0,0,0,0,0,0,29258,59414,22796,0,0,122554,30178,11254060,1130134,0,0,0,0,19102180,2224.98,2700,680612,964462,670578,293816,464286,336782,229078,163348,372036,31152,0,0
"neg",29394,na,0,na,0,0,0,0,0,0,952,334198,1361836,333768,9048,0,1002966,0,0,0,0,0,1672756,1344348,629428,277928,0,0,0,0,0,0,0,0,0,0,0,0,178242,557374,1304186,0,4078,1590,3298,59174,1378226,593434,2,0,0,0,916300,302250,147450,97354,72092,75754,152262,176998,82824,16518,2302530,24,1076,1152,76,1002966,42994,380204,243438,342760,na,na,na,na,na,na,na,281100,29394.23,2302530,2302530,2273944,13569,137982,105420,1087800,2039802,1209600,0,na,na,na,1709971.2,0,326029.44,0,0,0,0,0,48226,848816,1003112,129478,8508,1580,82,na,0,2302530,na,3480,304,13078,203044,215018,1522610,79734,2532,2,0,na,na,na,na,na,na,na,na,na,1684,138,0,0,0,0,0,0,0,0,24620,31808,6712,0,0,105078,20818,2232780,343214,0,36400,0,0,28394360,960.7,962,342610,297876,234998,136388,470258,548540,8384,524,208,16,0,0
"neg",8690,na,476,364,0,0,0,0,0,0,602,173208,440508,60548,0,0,312268,0,64,0,0,0,650322,579090,234192,50492,0,0,0,0,326,632,0,0,0,0,0,13022,505600,52100,104144,0,2328,200,338,6200,414724,251036,40,0,0,0,340832,134070,54256,38100,37632,69796,180,0,0,0,884668,0,444,12,0,312268,9886,174126,59730,na,na,na,na,na,na,na,na,232300,8690.86,884668,884668,886898,3320,22320,81952,882640,674866,1209600,19432,0,52,0,499535.04,0,115846.08,0,0,0,0,0,17654,345822,271308,36286,2880,832,84,34,42,884668,na,2946,176,1980,85848,37712,174218,359942,11764,280,0,460,902,357532,98282,32,2160,0,0,555478,824,122,0,0,0,0,0,0,0,0,4988,3294,1124,0,0,14540,2646,293100,89072,0,0,0,0,0,465.54,452,125716,163752,52700,28890,55588,85370,140892,10658,10944,356,0,0
"neg",46978,na,334,322,0,0,0,0,0,0,55002,1274996,1548098,323708,21758,3870,1453404,0,0,0,88,590,2909100,2487234,747310,339634,0,0,0,0,720,248,0,0,0,0,0,146838,1764548,533792,782254,0,2822,1248,2318,57666,2165686,995852,1840,0,0,0,1008560,776104,388798,246218,193548,192438,297124,124642,0,0,3657128,466,834,920,24,1453404,39262,469444,268550,224460,266560,238920,na,na,na,na,na,8460,46978.78,3657128,3657128,3611256,20013,1946,118066,19820,3227432,1209600,111706,2,84,0,2733589.44,0,490490.88,0,0,0,0,836,328068,1581472,1119530,179916,14610,2912,88,2,10,3657128,na,5010,612,3072,235310,132468,2070258,755182,25352,168,0,488,778,2748172,389212,0,2158,0,30,2760516,2772,268,0,0,0,0,0,0,0,0,23428,39110,8072,0,0,86652,21046,19420,3780,0,0,0,0,45978820,1683.54,1696,515432,520552,407008,221836,534336,606554,325542,89624,6538,10,0,0
"neg",1870,na,na,na,0,0,0,0,0,0,140,68816,42816,0,0,0,35354,0,0,na,0,0,103758,96110,16470,4532,0,0,0,0,0,0,0,0,0,0,0,1856,75914,7718,26284,0,1008,66,48,92,84,108306,2168,0,0,0,58320,38386,9574,3932,864,266,428,2,0,0,120258,24,250,86,6,35354,972,7376,9028,0,0,0,0,0,0,0,0,16140,1869.83,120258,120258,na,358,5902,na,119920,na,1209600,0,na,na,na,100306.56,0,10453.44,na,na,0,0,0,35040,70368,5882,400,64,18,0,na,0,120258,na,978,16,6674,2780,11052,83616,6252,404,0,0,na,na,na,na,na,na,na,na,na,116,26,na,na,na,na,na,na,na,na,500,1288,330,0,0,3330,574,575220,75946,0,0,0,0,na,na,na,12252,11344,7688,5050,33502,40466,1436,34,0,0,0,0
